OSS Title,License Name/Version #,Description,Version
MariaDB,GPL 2.0,Open source relational database used by Slurm,10.6
Kubernetes Controllers,Apache-2.0,Production-Grade Container Scheduling and Management,1.31.4
kubelet,Apache-2.0,"Provides external, versioned ComponentConfig API types for configuring the kubelet",1.31.4
kubeadm,Apache-2.0,"""fast paths"" for creating Kubernetes clusters",1.31.4
kubectl,Apache-2.0,Command line tool for Kubernetes,1.31.4
etcd,Apache-2.0,Relational database used by Kubernetes,3.5.16
coreDNS,Apache-2.0,DNS server that chains plugins,1.11.3
cni,Apache-2.0,Networking for Linux containers,3.29.1
cri-O,Apache-2.0,CLI and validation tools for Kubelet Container Runtime Interface (CRI),1.31.1
calico,Apache-2.0,Cloud native networking and network,3.29.1
flannel,Apache-2.0,"Flannel is a network fabric for containers, designed for Kubernetes",0.22.0
multus,Apache-2.0,A CNI meta-plugin for multi-homed pods in Kubernetes,4.1.4
whearabouts,Apache-2.0,A CNI IPAM plugin that assigns IP addresses cluster-wide,0.8.0
runc,Apache-2.0,CLI tool for spawning and running containers according to the OCI specification,1.2.3
nerdctl,Apache-2.0,"contaiNERD CTL - Docker-compatible CLI for containerd, with support for Compose, Rootless, eStargz, OCIcrypt, IPFS etc",1.7.7
containerd,Apache-2.0,An open and reliable container runtime,1.7.24
metallb,Apache-2.0,A network load-balancer implementation for Kubernetes using standard routing protocols,0.13.9
mpi-operator,Apache-2.0,"Kubernetes Operator for MPI-based applications (distributed training, HPC, etc.)",0.6.0
kubespray collection,Apache License 2.0,Deploy a Production Ready Kubernetes Cluster,2.27
cryptography,Apache-2.0 OR BSD-3-Clause,cryptography is a package which provides cryptographic recipes and primitives to Python developers.,44.0.0
jmespath,MIT License,JMESPath is a query language for JSON.,1.0.1
MarkupSafe,"BSD 3-Clause ""New"" or ""Revised"" License",Safely add untrusted strings to HTML/XML markup.,2.1.5
netaddr,BSD License (BSD License),A Python library for representing and manipulating network addresses.,1.2.1
pbr,Apache License 2.0,Python Build Reasonableness.,6.0.0
ruamel.yaml,MIT License,It is a YAML 1.2 loader/dumper package for Python.,0.18.6
ruamel.yaml.clib,MIT License,It is the C based reader/scanner and emitter for ruamel.yaml,0.2.8
jinja2,BSD-3-Clause,A very fast and expressive template engine.,3.1.6
jsonschema,MIT license,An implementation of JSON Schema validation for Python,4.22.0
python3,PSF license,The Python programming language,3.11
python-pip3,MIT license,The Python package installer,25.0.1
ansible,GPL-3.0-or-later,GPL-3.0-or-later,9.5.1
ansible.utils,GPL 3.0,A collection of ansible utilities for the content creator,5.1.1
community.crypto,GNU General Public License v3.0 or later,The community.crypto collection for Ansible.,2.23.0
community.docker,GNU General Public License v3.0,Community Docker Collection for Ansible: modules and plugins for working with Docker,3.12.1
community.general,GNU-General Public License v3.0,Ansible Community General Collection,9.4.0
community.grafana,GPL-3.0 license,Ansible Community General Collection,2.1.0
community.mysql,GPL-3.0 license,MySQL is an open-source relational database management system.,3.10.3
