OSS Title,License Name/Version #,Description,Version
metallb,Apache 2.0,A network load-balancer implementation for Kubernetes using standard routing protocols,1.3
smartmontools,GNU GPL,Official read only mirror of the smartmontools project SVN,7.4
pyinstaller,"GNU General Public License, Apache 2.0",Freeze (package) Python programs into stand-alone executables,6
psutil,BSD 3-Clause License,Cross-platform lib for process and system monitoring in Python,05:09:05
LDAP ToolBox,GNU General Public License v3.0 ,OpenLDAP server installation,2.5.16
squid - ubuntu 20.04,Apache 2.0,http proxy server,4.1
squid - ubuntu 22.04,Apache 2.0,http proxy server,5.7
squid,Apache 2.0,http proxy server,4.15
jq,MIT License,Software for verifying syntax of json files,1.7.1
community.crypto ansible collection,GNU General Public License v3.0,The community.crypto collection for Ansible.,2.14.0
pyopenssl,Apache 2.0,pyOpenSSL is a rather thin wrapper around (a subset of) the OpenSSL library.,24.1.0
urllib3,MIT License,"urllib3 is a powerful, user-friendly HTTP client for python",2.2.1
containerd,Apache 2.0,An open and reliable container runtime,1.6.13-3.1
nerdctl,Apache 2.0,Omnia Local Registry,1.5.0
kubespray collection,Apache 2.0,Deploy a Production Ready Kubernetes Cluster,v2.23.2
cryptography,"Apache Software License, BSD License (Apache-2.0 OR BSD-3-Clause)",cryptography is a package designed to expose cryptographic primitives and recipes to Python developers.,41.0.1
jmespath,MIT License,JMESPath is a query language for JSON.,1.0.1
MarkupSafe,BSD-3-Clause,Safely add untrusted strings to HTML/XML markup.,2.1.3
netaddr,BSD License,A Python library for representing and manipulating network addresses.,0.8.0
pbr,Apache Software License,Python Build Reasonableness. Mirror of code maintained at opendev.org.,5.11.1
ruamel.yaml,MIT License,It is a YAML 1.2 loader/dumper package for Python.,0.17.31
ruamel.yaml.clib,MIT License,It is the C based reader/scanner and emitter for ruamel.yaml,0.2.8
Kserve,Apache 2.0,"Deploys Kserve as inference platform on K8s cluster. Kserve installation installs dependencies istio1.17.0, certificate manager (1.13.0) and  Knative(1.11.0) ",0.11.2
pyarrow,Apache 2.0,Discovery provisioning,15.0.2
vllm,Apache 2.0,A high-throughput and memory-efficient inference and serving engine for LLMs,0.4.0
ucx,BSD 3 Clause License,Benchmarks tools,1.15.0
openmpi,3-clause BSD license,Benchmarks tools,4.1.6
Pytorch,Apache 2.0,PyTorch is a GPU accelerated tensor computational framework for Machine Learning.,latest image
Pytorch NVIDIA,NVIDIA DEEP LEARNING CONTAINER LICENSE,"The PyTorch NGC Container is optimized for GPU acceleration, and contains a validated set of libraries that enable and optimize GPU performance",23.12-py3
Pytorch Intel ,HABANA LABS SYNAPSEAI SOFTWARE SUITE OUTBOUND SOFTWARE LICENSE AGREEMENT,The Intel Gaudi software is integrated with PyTorch and optimized for Intel Gaudi AI accelerator.,2.4.0
Tensorflow NVIDIA,NVIDIA DEEP LEARNING CONTAINER LICENSE,Tensorflow is a GPU accelerated tensor computational framework for Machine Learning.,23.12-tf2-py3
Kustomize,Apache 2.0,Customization of kubernetes YAML configurations,5.0.3
xilinx-device-plugin,Apache 2.0,he AMD-Xilinx device plugin for Kubernetes is a Daemonset deployed on the Kubernetes(k8s) cluster,1.3.0
nfs-subdir-external-provisioner,Apache 2.0,Dynamic sub-dir volume provisioner on a remote NFS server.,4.0.18
calico,Apache 2.0,"Calico is an open-source networking and security solution for containers and microservices, widely used in Kubernetes for efficient networking and robust security.",3.25.2
flannel,Apache 2.0,Flannel is a simple and easy-to-configure network fabric for containers. It is part of the Kubernetes ecosystem and primarily used to provide a network overlay that connects containers across multiple nodes.,0.22.0
