OSS Title,License Name/Version #,Description,Version
mpi-operator,Apache-2.0,"Kubernetes Operator for MPI-based applications (distributed training, HPC, etc.)",0.6.0
kube-vip,Apache-2.0 license,Kubernetes Control Plane Virtual IP and Load-Balancer,0.8.9
kubespray collection,Apache License 2.0,Deploy a Production Ready Kubernetes Cluster,2.28
cryptography,Apache-2.0 OR BSD-3-Clause, cryptography is a package which provides cryptographic recipes and primitives to Python developers.,"44.0.1, 44.0.2"
setuptools,MIT License,Official project repository for the Setuptools build system,80.9.0
wheel,MIT License,The official binary distribution format for Python,0.45.1
jmespath,MIT License,JMESPath is a query language for JSON.,1.0.1
netaddr,BSD License (BSD License),A Python library for representing and manipulating network addresses.,1.3.0
python3,PSF license,The Python programming language,3.11
python3-pip,MIT license,The Python package installer,25.1.1
git,GPL 3.0,"Git is a fast, scalable, distributed revision control system with an unusually rich command set that provides both high-level operations and full access to internals",2.40.0
git-lfs,MIT License,Git extension for versioning large files,3.3.0
iproute,GPL-2.0 license,"The iproute package contains networking utilities (ip and rtmon, for example) which are designed to use the advanced networking capabilities of the Linux kernel.
",6.1.0
systemd,GPL-2.0 license,The systemd System and Service Manager,253.2
curl,MIT License,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",7.87.0
openssl,Apache-2.0 license,TLS/SSL and crypto library,3.0.8
createrepo,"GPL-2.0, LGPL-2.1","This program generates a repodata dir and xml files for a repository of 
rpm packages.",0.20.1
yum-utils,GPL 2.0,Yum-utils CLI compatibility layer,4.3.0
wget,GPL-3.0 license," It is a systems management and monitoring application that provides a comprehensive view of the Dell EMC servers, chassis, storage, and network switches on the enterprise network","1.21.1, 1.21.3"
unzip,BSD License (BSD License),A utility for unpacking zip files,6
dnf-plugins-core,GPL 2.0,Core Plugins for DNF,4.3.0
rsync,GPL-3.0 license,A program for synchronizing files over a network,3.2.7
iputils,BSD and GPLv2+,Network monitoring tools including ping,20221126
nano,GPL-3.0-or-later,GNU nano is a small and friendly text editor.,7.2
ipcalc,GPL-2.0 license,IP network address calculator,1.0.2
ansible,GPL-3.0-or-later,GPL-3.0-or-later,"9.5.1, 9.13.0"
ansible.utils,GPL 3.0,A collection of ansible utilities for the content creator,5.1.1
community.crypto,GNU General Public License v3.0 or later,The community.crypto collection for Ansible.,2.23.0
community.docker,GNU General Public License v3.0,Community Docker Collection for Ansible: modules and plugins for working with Docker,3.12.1
community.general,GNU-General Public License v3.0,Ansible Community General Collection,10.3.0
community.grafana,GPL-3.0 license,Ansible Community General Collection,2.1.0
community.mysql,GPL-3.0 license,MySQL is an open-source relational database management system.,3.10.3
community.postgresql,GPL-3.0 license,Manage PostgreSQL with Ansible,3.10.2
dellemc.os10,GNU-General Public License v3.0,It provides networking hardware abstraction through a common set of APIs,1.1.1
dellemc.openmanage,GNU-General Public License v3.0," It is a systems management and monitoring application that provides a comprehensive view of the Dell EMC servers, chassis, storage, and network switches on the enterprise network",9.6.0
kubernetes.core,GNU-General Public License v3.0,"The collection includes a variety of Ansible content to help automate the management of applications in Kubernetes and OpenShift clusters, as well as the provisioning and maintenance of clusters themselves.","5.2.0, 5.0.0"
community.kubernetes,GPL-3.0-or-later,Kubernetes collection for ansible,2.0.1
rocm,MIT license,AMD ROCm™ Software,6.3.1
beegfs,BeeGFS (formerly known as FhGFS) END USER LICENSE,Public repository for the BeeGFS Parallel File System,7.4.5
CUDA ,NVIDIA Software License,"The NVIDIA® CUDA® Toolkit provides a development environment for creating high-performance, GPU-accelerated applications.",12.8
dkms,GPL 2.0,Dynamic Kernel Module Support,3.2.1
Intel Gaudi3 driver,MIT license,Intel Gaudi3 drivers,1.19.2
FreeIPA,GNU-General Public License v3.0," FreeIPA, an integrated security information management solution",4.12.2
NVIDIA device plugin,Apache License 2.0,NVIDIA device plugin for Kubernetes,0.14.4
rocm device plugin,Apache License 2.0,Kubernetes (k8s) device plugin to enable registration of AMD GPU to a container cluster,0.19.0
xilinx-device-plugin,Apache License 2.0,The AMD-Xilinx device plugin for Kubernetes is a Daemonset deployed on the Kubernetes(k8s) cluster,1.2.0
OFED,NVIDIA Software License,OFED driver,24.10-1.1.4.0
OpenLDAP,The OpenLDAP Public License version 2.8,"OpenLDAP is a free, open-source implementation of the Lightweight Directory Access Protocol (LDAP) developed by the OpenLDAP Project",2.6.0
LDAP ToolBox,GNU General Public License v3.0 ,OpenLDAP server installation,commit :a8e5b8fdbf3e5885f4c412945c8fe51d03dd01c9
libsodium,ISC License,"A modern, portable, easy to use crypto library.",1.0.18
OpenMPI (RHEL 9.6), 3-clause BSD license,Open MPI main development repository,4.1.6
NVidia container runtime,Apache-2.0,Nvidia container runtime library,3.4.2
helm (RHEL 9.6),Apache-2.0,Kubernetes Package Manager,3.16.4
spark-operator,Apache-2.0,Unified analytics engine for large-scale data processing,v1beta2-1.3.8-3.1.1
omsdk,Apache-2.0,DellEMC OpenManage Python SDK (OMSDK) is a python library that helps developers and customers to automate the lifecycle management of PowerEdge Servers,1.2.518
pysnmp,BSD-3-Clause License,Python SNMP library,7.1.20
prometheus,Apache-2.0,It is a monitoring and alerting tool,"v3.4.1
"
loki,GNU AFFERO GENERAL PUBLIC LICENSE v3.0," It is a horizontally scalable, highly available, multi-tenant log aggregation system",3.5.1
promtail,Apache-2.0,Promtail is an agent which ships the contents of local logs to a private Grafana Loki instance,3.5.1
mailx,MIT License,Utility for sending and receiving mails,12.5
grafana,GNU AFFERO GENERAL PUBLIC LICENSE,Grafana is the open source analytics & monitoring solution for every database.,"12.0.1
"
grafana-enterprise,GNU AFFERO GENERAL PUBLIC LICENSE,Grafana is the open source analytics & monitoring solution for every database.,"12.0.1
"
grafana-plugin,Apache-2.0,visualization for grafana,stable commit: 947da4f27c1f7b88856e39f44f8a76cd532cf57a
activemq,Apache-2.0,"Most popular multi protocol, message broker",5.15.9
mySQL container,GPLv2 with exceptions and LGPLv2 and BSD,"MySQL is a multi-user, multi-threaded SQL database server. MySQL is a client/server implementation consisting of a server daemon (mysqld) and many different client programs and libraries. The base package contains the standard MySQL client programs and generic MySQL files.",9.3.0
golang,BSD-3-Clause License,"Go is a statically typed, compiled programming language designed at Google",1.24
postgresSQL (RHEL 9.6),PostgresSQL License,"PostgreSQL, also known as Postgres, is a free and open-source relational database management system emphasizing extensibility and SQL compliance.",16.8
idrac-telemetry-reference tools,Apache-2.0,Reference toolset for PowerEdge telemetry metric collection and integration with analytics and visualization solutions.,commit ID: 3e78774
snoopy,GPL 2.0,Snoopy is a small library that logs all program executions on your Linux/BSD system,2.5.1
Beegfs,GPLv2,"BeeGFS is a parallel file system, developed and optimized for high-performance computing.",7.4.5
hostname,GPLv2,Utility to set/show the host name or domain name,3.23
patch,GPLv3+,Utility for modifying/upgrading files,2.7.6
ansible.posix,GNU General Public License ,An Ansible Collection of modules and plugins that target POSIX UNIX/Linux and derivative Operating Systems.,2.0.0
xCAT,Eclipse Public License 1.0,"xCAT is an open-source tool for automating deployment, scaling, and management of bare metal servers and virtual machines",2.17
ansible pylibssh,LGPL 2.1,Python bindings specific to Ansible use case for libssh,1.2.3
perl-DBD-Pg,GNU General Public License v3,Perl module that works with the DBI module to provide access to PostgreSQL databases.,3.16.1
