Generation,Models supported by Omnia ,Models validated with current version of Omnia
14G,"R6415, R7415, R7425",R7425
15G,"R6515, R6525, R7515, R7525, C6525, XE8545","C6525, R6525"
16G,"R6625, R7625, R7615, R6615","R6625, R7625"
17G,"R6725, R7725, R6715, R7715","R6725, R7725, R6715, R7715"
